DATE,Median,P05,P95
2025-01-31,81.64358583587116,76.3025130535367,86.78228121395485
2025-02-28,82.61620764134398,77.31234209328575,88.23934454148328
2025-03-31,77.37081940534046,71.99078959492888,82.87067263868066
2025-04-30,73.95366363633626,68.59235177933836,79.315155774202
2025-05-31,67.87309708545277,62.23423092654775,73.10366712401385
2025-06-30,65.66213714572035,60.15362090902009,71.33257225569766
2025-07-31,67.35950149320308,61.570962271868105,73.62300183186858
2025-08-31,60.24780889050679,54.22615335449052,65.29999043755257
2025-09-30,49.99596237141024,43.996281764958056,54.91979000460693
2025-10-31,47.77396413755483,41.39735320438413,53.486158405847
2025-11-30,61.11426159727604,55.28365724282448,67.15155566110984
2025-12-31,61.22981441118471,55.986122382431326,66.51394530849821
2026-01-31,72.089130492692,66.94779736821575,77.79985072081807
2026-02-28,75.85416046506927,69.93815116529908,81.35807099685347
2026-03-31,73.82949213383459,67.68515414071862,79.71149135729046
2026-04-30,69.62547985271092,64.34449889656,75.13635227881103
2026-05-31,62.869023639662174,57.195798722576235,68.56457917325903
2026-06-30,60.15956764727355,54.17844207303346,65.55517630093361
2026-07-31,63.80507797918932,57.59273462215385,69.70994425761388
2026-08-31,55.496478601227736,49.74023109748257,61.29778008881146
2026-09-30,43.19437186372598,37.34249633131618,49.23543230492737
2026-10-31,41.491420126204865,35.85967397531982,47.407498011450166
2026-11-30,56.07191858242912,49.71077636386383,61.94741316369389
2026-12-31,53.820088568932235,47.65993027493963,59.48861678455406
